name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours
Toogoolawah QGAP,"Toogoolawah Magistrates Court, Hopkins Place, Gardner Street",Toogoolawah,QLD,4313,-27.0879,152.379463,46390780,"Monday: 8:30-12:00 - 13:00-16:00
Tuesday: 8:30-12:00 - 13:00-16:00
Wednesday: 9:30-12:00 - 13:00-16:00
Thursday: 8:30-12:00 - 13:00-16:00
Friday: 8:30-12:00 - 13:00-16:00
Saturday: NA
Sunday: NA"
Tully QGAP,"Tully Magistrates Court, 46 Bryant Street",Tully,QLD,4854,-17.935826,145.922833,4063 5534,"Monday: 8:30-12:00 - 13:00-16:30
Tuesday: 8:30-12:00 - 13:00-16:30
Wednesday: 9:30-12:00 - 13:00-16:30
Thursday: 8:30-12:00 - 13:00-16:30
Friday: 8:30-12:00 - 13:00-16:30
Saturday: NA
Sunday: NA"
Wandoan QGAP,"Post Office, 11 Lawton Street",Wandoan,QLD,4419,-26.120909,149.961034,4627 4170,"Monday: 9:00 - 16:00
Tuesday: 9:00 - 16:00
Wednesday: 9:00 - 16:00
Thursday: 9:00 - 16:00
Friday: 9:00 - 16:00
Saturday: NA
Sunday: NA"
Weipa QGAP,"Weipa Magistrates Court, Central Avenue",Weipa,QLD,4874,-12.623179,141.880209,4214 6400,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 8:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Windorah QGAP,"Police Station, Victoria Street",Windorah,QLD,4481,-25.419769,142.653596,4652 5121,"Monday: NA
Tuesday: NA
Wednesday: 08:00-11:30 - NA
Thursday: NA
Friday: NA
Saturday: NA
Sunday: NA"
Winton QGAP,"Courthouse, 59 Vindex Street",Winton,QLD,4735,-22.387879,143.039031,746528250,"Monday: 8:30 - 12:00 - 13:00 - 16:00
Tuesday: 8:30 - 12:00 - 13:00 - 16:00
Wednesday: 9:30 - 12:00 - 13:00 - 16:00
Thursday: 8:30 - 12:00 - 13:00 - 16:00
Friday: 8:30 - 12:00 - 13:00 - 16:00
Saturday: NA
Sunday: NA"
Yarrabah QGAP,56 Sawmill Road,Yarrabah,QLD,4871,-16.906625,145.865863,4056 9120,"Monday: 09:00 - 12:00 - 13:00-16:00
Tuesday: 09:00 - 12:00 - 13:00-16:00
Wednesday: 09:00 - 12:00 - 13:00-16:00
Thursday: 09:00 - 12:00 - 13:00-16:00
Friday: 09:00 - 12:00 - NA
Saturday: NA
Sunday: NA"
Yeppoon QGAP,"Yeppoon Magistrates Court, 21 - 23 Normanby Street",Yeppoon,QLD,4703,-23.127874,150.745671,4939 5385,"Monday: 8:30 - 16:30
Tuesday: 8:30 - 16:30
Wednesday: 9:30 - 16:30
Thursday: 8:30 - 16:30
Friday: 8:30 - 16:30
Saturday: NA
Sunday: NA"
Annerley Library,"450 Ipswich Rd, Annerley",Annerley,QLD,4103,-27.509341,153.03331,07 3403 1735,"Monday: 10am-5pm
Tuesday: 10am-5pm
Wednesday: closed
Thursday: closed
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Ashgrove Library,"87 Amarina Ave, Ashgrove",Ashgrove,QLD,4060,-27.443876,152.987086,07 3407 1940,"Monday: 10am-6pm
Tuesday: 10am-8pm
Wednesday: 10am-6pm
Thursday: 10am-8pm
Friday: 10am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Banyo Library,"284 St Vincents Rd, Banyo",Banyo,QLD,4014,-27.374391,153.078259,07 3403 2200,"Monday: closed
Tuesday: 12 noon-6pm
Wednesday: 10am-5pm
Thursday: 10am-6pm
Friday: 12 noon-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Bracken Ridge Library,"Cnr Bracken and Barrett Street, Bracken Ridge",Bracken Ridge,QLD,4017,-27.317963,153.037889,07 3667 6060,"Monday: closed
Tuesday: 10am-8pm
Wednesday: 10am-8pm
Thursday: 10am-6pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Brisbane Square Library,"266 George St, Brisbane City",Brisbane,QLD,4000,-27.470824,153.022451,07 3403 4166,"Monday: 9am-6pm
Tuesday: 9am-6pm
Wednesday: 9am-6pm
Thursday: 9am-6pm
Friday: 9am-7pm
Saturday: 9am-4pm
Sunday: 10am-3pm
Closed on public holidays"
Bulimba Library,"Cnr Riding Rd & Oxford St, Bulimba",Bulimba,QLD,4171,-27.452075,153.062858,07 3407 8223,"Monday: closed
Tuesday: 9am-5pm
Wednesday: 1pm-8pm
Thursday: 9am-5pm
Friday: 9am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Carina Library,"Cnr Mayfield Rd & Nyrang St, Carina",Carina,QLD,4152,-27.493284,153.09006,07 3407 1873,"Monday: 10am-6pm
Tuesday: 10am-6pm
Wednesday: closed
Thursday: closed
Friday: 10am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Carindale Library,"Westfield Carindale, 1151 Creek Road, Carindale",Carindale,QLD,4152,-27.50134,153.102746,07 3407 1490,"Monday: 9am-5.30pm
Tuesday: 9am-5.30pm
Wednesday: 9am-5.30pm
Thursday: 9am-8pm
Friday: 9am-5.30pm
Saturday: 9am-4pm
Sunday: 10am-4pm
Closed on public holidays"
Chermside Library,"375 Hamilton Rd, Chermside",Chermside,QLD,4032,-27.386161,153.034879,07 3403 7200,"Monday: 9am-6pm
Tuesday: 9am-8pm
Wednesday: 9am-6pm
Thursday: 9am-8pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: 10am-4pm
Closed on public holidays"
Coopers Plains Library,"107 Orange Grove Rd, Coopers Plains",Coopers Plains,QLD,4108,-27.564998,153.039658,07 3403 1530,"Monday: closed
Tuesday: 10am-5pm
Wednesday: 10am-8pm
Thursday: 10am-5pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Corinda Library,"641 Oxley Rd, Corinda",Corinda,QLD,4075,-27.53886,152.981475,07 3407 7701,"Monday: closed
Tuesday: 10am-5pm
Wednesday: 10am-5pm
Thursday: 10am-5pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Everton Park Library,"573 South Pine Road, Everton Park",Everton Park,QLD,4053,-27.405286,152.99049,07 3403 7400,"Monday: closed
Tuesday: 10am-6pm
Wednesday: 10am-5pm
Thursday: 12 noon-8pm
Friday: 12 noon-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Fairfield Library,"Fairfield Gardens Shopping Centre, 180 Fairfield Rd, Fairfield",Fairfield,QLD,4103,-27.509188,153.026711,07 3403 8615,"Monday: closed
Tuesday: 10am-6pm
Wednesday: 10am-6pm
Thursday: 9am-7pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Garden City Library,"Garden City Shopping Centre, Level R4, Cnr Logan & Kessels Rd, Upper Mt Gravatt",Upper Mount Gravatt,QLD,4122,-27.562668,153.079845,07 3403 7745,"Monday: 9am-5.30pm
Tuesday: 9am-5.30pm
Wednesday: 9am-5.30pm
Thursday: 9am-8pm
Friday: 9am-5.30pm
Saturday: 9am-4pm
Sunday: 10am-4pm
Closed on public holidays"
Grange Library,"79 Evelyn St, Grange",Grange,QLD,4051,-27.425132,153.01759,07 3407 2523,"Monday: closed
Tuesday: 10am-6pm
Wednesday: 12 noon-8pm
Thursday: 10am-6pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Hamilton Library,"Cnr Racecourse Rd & Rossiter Pde, Ascot",Ascot,QLD,4007,-27.437762,153.064249,07 3403 1050,"Monday: closed
Tuesday: 10am-5pm
Wednesday: 1-6pm
Thursday: 10am-5pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Holland Park Library,"81 Seville Rd, Holland Park",Holland Park,QLD,4121,-27.523073,153.072057,07 3403 7755,"Monday: closed
Tuesday: 10am-5pm
Wednesday: 1-8pm
Thursday: 10am-5pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Inala Library,"Inala Civic Centre, Corsair Ave, Inala",Inala,QLD,4077,-27.597501,152.973593,07 3403 2205,"Monday: 9am-6pm
Tuesday: 9am-6pm
Wednesday: 9am-6pm
Thursday: 9am-7pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Indooroopilly Library,"Indooroopilly Shopping Centre, Level 4, 322 Moggill Rd, Indooroopilly",Indooroopilly,QLD,4068,-27.499591,152.972642,07 3407 0009,"Monday: 9am-6pm
Tuesday: 9am-8pm
Wednesday: 9am-6pm
Thursday: 9am-8pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: 10am-4pm
Closed on public holidays"
Kenmore Library,"Kenmore Village, 9 Brookfield Road, Kenmore",Kenmore,QLD,4069,-27.506033,152.938582,07 3407 0258,"Monday: 9am-6pm
Tuesday: 9am-6pm
Wednesday: 9am-6pm
Thursday: 9am-8pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Mitchelton Library,"37 Heliopolis Pde, Mitchelton",Mitchelton,QLD,4053,-27.417127,152.97838,07 3403 7410,"Monday: closed
Tuesday: 10am-5pm
Wednesday: 10am-5pm
Thursday: 12 noon-7pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Mt Coot-tha Library,"Brisbane Botanic Gardens, Mt Coot-tha Rd, Toowong",Toowong,QLD,4066,-27.475596,152.976014,07 3403 2550,"Monday: 10am-3pm
Tuesday: 10am-4pm
Wednesday: 10am-4pm
Thursday: 10am-4pm
Friday: 10am-3pm
Saturday: 9am-4pm
Sunday: 10am-3pm
Closed on public holidays"
Mt Gravatt Library,"8 Creek Rd, Mt Gravatt",Mount Gravatt,QLD,4122,-27.538516,153.08026,07 3403 7775,"Monday: closed
Tuesday: 9am-5pm
Wednesday: 9am-5pm
Thursday: 9am-7pm
Friday: 9am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Mt Ommaney Library,"Mt Ommaney Shopping Centre, 171 Dandenong Rd, Mt Ommaney",Mount Ommaney,QLD,4074,-27.548122,152.937895,07 3407 7010,"Monday: closed
Tuesday: 9am-6pm
Wednesday: 9am-6pm
Thursday: 9am-8pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
New Farm Library,"135 Sydney St, New Farm",New Farm,QLD,4005,-27.467304,153.049626,07 3403 1062,"Monday: closed
Tuesday: 10am-6pm
Wednesday: 10am-6pm
Thursday: 12 noon-8pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Nundah Library,"1 Bage St (via Primrose Lane), Nundah",Nundah,QLD,4012,-27.40128,153.058329,07 3407 8701,"Monday: closed
Tuesday: 10am-6pm
Wednesday: 1-7pm
Thursday: 10am-5pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Sandgate Library,"Sandgate Town Hall, Seymour St, Sandgate",Sandgate,QLD,4017,-27.320585,153.070492,07 3667 6022,"Monday: closed
Tuesday: 10am-5pm
Wednesday: 10am-6pm
Thursday: 10am-6pm
Friday: 12 noon-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Stones Corner Library,"280 Logan Rd, Stones Corner",Stones Corner,QLD,4120,-27.497906,153.043665,07 3403 2170,"Monday: closed
Tuesday: closed
Wednesday: 9am-5pm
Thursday: 9am-5pm
Friday: 9am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Sunnybank Hills Library,"Sunnybank Hills Shoppingtown, Cnr Compton & Calam Rds, Sunnybank Hills",Sunnybank Hills,QLD,4109,-27.609839,153.055842,07 3407 0571,"Monday: 9am-6pm
Tuesday: 9am-6pm
Wednesday: 9am-6pm
Thursday: 9am-8pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Toowong Library,"Toowong Village Shopping Centre, 9 Sherwood Rd, Toowong",Toowong,QLD,4066,-27.485753,152.99302,07 3403 2590,"Monday: 9am-5.30pm
Tuesday: 9am-5.30pm
Wednesday: 9am-5.30pm
Thursday: 9am-8pm
Friday: 9am-5.30pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
West End Library,"178-180 Boundary St, West End",West End,QLD,4101,-27.482419,153.011858,07 3403 8620,"Monday: 9am-1pm
Tuesday: 1pm-5pm
Wednesday: 10am-5pm
Thursday: 10am-7pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Wynnum Library,"145 Florence St, Wynnum",Wynnum,QLD,4178,-27.44497,153.171656,07 3403 2199,"Monday: 9am-6pm
Tuesday: 9am-6pm
Wednesday: 9am-6pm
Thursday: 9am-8pm
Friday: 9am-6pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
Zillmere Library,"Cnr Jennings St & Zillmere Rd, Zillmere",Zillmere,QLD,4034,-27.360039,153.040736,07 3403 1455,"Monday: closed
Tuesday: 10am-6pm
Wednesday: 12 noon-5pm
Thursday: 10am-6pm
Friday: 10am-5pm
Saturday: 9am-4pm
Sunday: closed
Closed on public holidays"
